-1,0,0
4,123,1
3,3,1
8,116,0
4,-38,1
43,-19,1
-41,-113,1
-37,11,0
-2,6,1
-13,18,1
0,3,0
-13,-8,0
1,-1,-1
0,-1,-1
1,-1,-1
111,-11,0
1,-1,-1
136,40,0
4,-1,-1
3,-1,-1
102,24,0
2,-1,-1
3,-1,-1
46,-15,1
-31,19,1
-159,9,0
-25,-3,1
-39,0,1
-34,25,1
3,-1,-1
4,-1,-1
-18,-37,1
9,33,0
1,-1,-1
0,-1,-1
2,-1,-1
-126,14,1
2,-1,-1
4,-1,-1
-5,9,1
-1,4,0
-7,-7,0
-5,15,1
-33,-1,0
1,-1,-1
28,29,1
-23,-16,1
4,-1,-1
-8,-13,0
4,-1,-1
0,-1,-1
35,-1,1
0,-1,-1
2,-1,-1
11,28,1
-25,-125,1
2,-1,-1
-30,4,1
4,-1,-1
1,-1,-1
4,-1,-1
1,20,0
32,26,1
-9,-12,1
2,-1,-1
110,-24,0
2,-1,-1
4,-1,-1
-11,-24,1
3,-1,-1
2,-1,-1
22,-14,0
1,-12,0
4,-1,-1
-76,9,0
0,-1,-1
3,-1,-1
29,16,1
-13,74,1
4,-1,-1
2,-1,-1
-92,-3,0
4,-1,-1
3,-1,-1
-21,6,0
-142,-33,1
15,20,1
4,-1,-1
6,-8,1
3,-1,-1
2,-1,-1
101,-13,0
2,-1,-1
1,-1,-1
-15,2,0
-30,-175,0
129,-2,1
17,-37,0
1,-1,-1
2,-1,-1
0,-1,-1
-107,-15,1
-25,152,0
1,-1,-1
4,-1,-1
1,115,1
3,-1,-1
2,-1,-1
13,0,0
-6,-19,1
-31,-23,1
28,6,1
-29,-51,1
4,-1,-1
0,-1,-1
0,-1,-1
8,-2,0
0,-1,-1
2,-1,-1
-8,-9,1
3,-1,-1
10,0,0
0,-1,-1
2,-1,-1
6,10,1
-27,-145,0
4,-1,-1
-86,-16,1
0,-1,-1
4,-1,-1
-36,-32,0
3,-1,-1
4,-1,-1
87,0,0
121,-9,0
3,-1,-1
107,-35,1
4,-1,-1
1,-1,-1
15,5,0
26,-13,1
5,123,0
2,-1,-1
-5,7,0
4,-1,-1
17,0,1
2,-1,-1
4,-1,-1
-89,-16,0
1,-1,-1
2,-1,-1
2,-11,1
18,41,1
-73,-6,0
3,-1,-1
78,-9,0
9,7,1
3,-1,-1
4,-1,-1
2,-1,-1
-90,133,0
2,-1,-1
4,-1,-1
-14,13,0
2,-1,-1
34,15,1
-25,86,0
0,-1,-1
4,-1,-1
-122,-34,0
1,-1,-1
2,-1,-1
-18,-7,1
-22,-7,1
3,-1,-1
0,-1,-1
-15,29,1
1,-1,-1
25,10,0
2,-1,-1
4,-1,-1
29,-1,0
-6,-29,1
3,-1,-1
4,-1,-1
-121,-23,1
141,-22,1
30,-122,1
4,-1,-1
0,-1,-1
1,-1,-1
30,0,0
3,-1,-1
1,-1,-1
-45,-4,1
20,34,1
-23,-29,1
23,17,1
1,-1,-1
137,31,0
1,-1,-1
0,-1,-1
2,-1,-1
-14,-17,0
0,-1,-1
106,2,0
4,-1,-1
1,-1,-1
9,-17,0
0,-1,-1
4,-1,-1
20,-15,0
22,-133,0
4,-1,-1
1,-1,-1
47,-141,1
4,-1,-1
24,-18,1
0,-1,-1
-2,-30,0
1,-1,-1
3,-1,-1
-125,6,0
36,-13,0
4,-1,-1
2,-1,-1
114,-31,0
-33,110,0
-48,-13,1
6,89,0
1,-1,-1
0,-1,-1
1,-1,-1
-142,3,1
16,-9,1
0,-1,-1
2,-1,-1
2,-1,-1
41,17,0
3,-1,-1
-22,103,0
142,2,0
-27,-7,0
3,-1,-1
2,-1,-1
0,-1,-1
0,-1,-1
9,-120,1
10,-19,0
-12,11,1
-16,-125,0
33,1,1
-14,112,0
6,-1,0
4,-1,-1
2,-1,-1
18,-5,0
3,-1,-1
-29,-43,1
1,-1,-1
2,-1,-1
-5,-14,0
-12,-13,1
40,-2,1
4,-1,-1
1,-1,-1
2,-1,-1
3,-1,-1
130,-1,1
-31,-37,0
101,3,1
0,-1,-1
-15,-23,1
1,-1,-1
-48,-35,0
4,-1,-1
2,-1,-1
72,0,1
-16,6,0
3,-1,-1
-13,6,1
4,-1,-1
2,-1,-1
-42,-16,0
0,-1,-1
1,-1,-1
129,8,1
-2,129,0
15,-23,0
-45,-22,1
-19,86,1
3,-1,-1
0,-1,-1
3,-1,-1
-2,2,0
-19,78,0
97,-4,1
11,126,0
2,-1,-1
0,-1,-1
-14,-32,1
1,-1,-1
0,-1,-1
-1,89,0
0,-1,-1
108,102,1
-25,-18,0
4,-1,-1
3,-1,-1
4,-1,-1
10,-22,1
126,-46,1
-21,-26,1
1,-1,-1
-14,-10,1
4,-1,-1
2,-1,-1
0,-1,-1
0,-1,-1
-1,1,1
0,-1,-1
11,-16,0
0,-1,-1
19,-22,1
4,-1,-1
0,-1,-1
5,-18,0
4,-1,-1
-4,-11,0
2,-1,-1
1,-1,-1
-7,-9,0
-23,-18,0
-140,-33,1
6,123,1
3,-1,-1
1,-1,-1
-47,-29,1
4,-1,-1
0,-1,-1
2,-1,-1
109,-26,0
22,6,1
28,-12,1
1,-1,-1
2,-1,-1
4,-1,-1
-12,113,0
40,121,0
4,-1,-1
2,-1,-1
3,-1,-1
